decade,name,born,municipality,district,chamber
1921,"Olsson, Oscar Ulrik Bernhardin",1877,Linköping,Östergötlands län,fk
1921,"Olsson, Per Edvard",1877,Högby,Kalmar län,ak
1921,"Olsson, Per Valerius",1862,Kalmar,Kalmar län,ak
1921,"Olsson, Peter Magnus",1857,Blädinge,Kronobergs län,ak
1921,"Olsson, Sven August",1870,Labbemåla,Östergötlands län,ak
1921,"Olsson, Ählmans Olof",1866,,Kopparbergs län,fk
1921,"Osberg, Oscar",1872,,Göteborgs och Bohus län,ak
1921,"Palme, Sven Theodor",1854,,,
1921,"Pauli, Ivan Hjalmar Emanuel",1885,Karlstad,Jönköpings län,fk
1921,"Paulsen, Anders",1876,Arlöv,Malmöhus län,ak
1921,"Pehrsson, Axel Alarik",1883,Bramstorp,Malmöhus län,ak
1921,"Pehrsson, Per",1867,Göteborg,,ak
1921,"Pers, Anders",1860,Västerås,Kopparbergs län,fk
1921,"Persson, Alfred",1862,Björsbyholm,Värmlands län,ak
1921,"Persson, Gunnar",1885,Falla,Örebro län,ak
1921,"Persson, Johan Albert Leander",1887,Tidaholm,Skaraborgs län,ak
1921,"Persson, Nils",1873,Grytterud,Värmlands län,ak
1921,"Persson, Nils",1865,Malmö,Malmöhus län,fk
1921,"Persson, Per",1869,Trången,Jämtlands län,ak
1921,"Persson, Per Johan",1867,Tofta,Hallands län,ak
1921,"Persson, Swen",1875,Fritorp,Kristianstads län,ak
1921,"Petersson, Anders Birger",1885,,Älvsborgs län,ak
1921,"Petersson, Martin Lucas",1870,Broaryd,Jönköpings län,ak
1921,"Pettersson, Alfred",1865,,Älvsborgs län,ak
1921,"Pettersson, Anton",1879,Västerås,Södermanlands län och Västmanlands län,fk
1921,"Pettersson, August Wilhelm",1871,Köping,Västmanlands län,ak
1921,"Pettersson, David Hjalmar",1866,Bjälbo,Östergötlands län,ak
1921,"Pettersson, Gustaf Kristoffer",1885,Hällbacken,Kopparbergs län,ak
1921,"Pettersson, Ivar Jonas",1876,Stäringe,Örebro län,ak
1921,"Pettersson, Jakob Gustav",1866,Södertälje,Stockholms län,ak
1921,"Petterson, Olaus",1857,,Älvsborgs län,fk
1921,"Pettersson, Salomon Malkolm",1862,,Jönköpings län,
1921,"Philipson, Sten Isak Walter",1861,,,
1921,"Poppius, Daniel",1882,,Malmöhus län,ak
1921,"Prytz, Björn Gustaf",1887,Göteborg,,ak
1921,"Pålsson, Jöns",1870,,Malmöhus län,fk
1921,"Rehn, Johan",1865,,Västerbottens län,ak
1921,"Reuterskiöld, Carl Ludvig August",1870,,Stockholms län och Uppsala län,fk
1921,"Ribbing, Sigurd",1879,,,
1921,"Rogberg, Axel Herman Georg",1865,,Västerbottens län och Norrbottens län,
1921,"Romanus, Carl Bernhard",1876,Stockholm,,fk
1921,"Roos, Gustaf Wilhelm Alexander",1859,Visby,Gotlands län,
1921,"Rooth, Axel Rudolf",1858,Ljungby,Hallands län,fk
1921,"Rooth, Ivar",1888,,,
1921,"Ros, Carl Axel",1866,,Värmlands län,ak
1921,"Rosander, Per Gustaf",1882,,Kronobergs län,ak
1921,"Rosen, Gustaf Fredrik",1855,,,
1921,"Roth, Johan Gustaf",1876,,,
1921,"Rune, Axel Olof",1866,Västervik,Gotlands län,fk
1921,"Ryberg, Karl Arthur",1882,,Älvsborgs län,ak
1921,"Rydström, Eric",1881,,Kronobergs län,ak
1921,"Samuelson, John Arthur",1881,,,
1921,"Samuelson, Per Oskar",1885,Stockholm,,fk
1921,"Samuelsson, Bengt Robert Wilhelm",1886,,Norrbottens län,ak
1921,"Sandberg, Olov Evert",1886,,Västerbottens län,ak
1921,"Sandegård, Karl Johan",1880,,Älvsborgs län,fk
1921,"Sandler, Rickard Johan",1884,Stockholm,Gävleborgs län,fk
1921,"Sandström, Nils Victor",1874,,Väster norrlands län,ak
1921,"Sandwall, Fredrik Vilhelm",1877,Stockholm,Örebro län,ak
1921,"Schedin, Carl Gustaf",1868,,Gävleborgs län,fk
1921,"Schill, Lars August",1873,,Södermanlands län,ak
1921,"Schotte, Per Axel Victor",1860,Kalmar,Kalmar län,ak
1921,"Sederholm, Gustaf Robert",1868,Nyköping,Södermanlands län och Västmanlands län,fk
1921,"Sehlin, Carl Johan",1873,Östersund,Jämtlands län,ak
1921,"Selberg, Gustaf Reinhold",1884,,Norrbottens län,ak
1921,"Silfverschiöld, Otto Baltzar Arvid",1871,,Älvsborgs län,ak
1921,"Sjöblom, Per Henning",1875,,Stockholms län och Uppsala län,ak
1921,"Sjögren, Carl",1869,Motala,Östergötlands län,ak
1921,"Sjölander, Oskar Efraim",1880,,Uppsala län,ak
1921,"Sjöström, Algot Natanael",1879,Göteborg,,ak
1921,"Skoglund, Johan Martin",1892,Doverstorp,Östergötlands län,ak
1921,"Sköld, Per Edvin",1891,,Malmöhus län,ak
1921,"Smedh, Herman Daniel",1891,,Kopparbergs län,ak
1921,"Sneidern, Axel Wilhelm Teodor",1875,,,
1921,"Sommelius, Malte",1851,Hälsingborg,,ak
1921,"Spens, Jakob Wilhelm",1861,Jönköping,Jönköpings län,fk
1921,"Spångberg, August Konrad Ferdi-",1893,,Värmlands län,ak
1921,"Starbäck, Karl",1863,Stockholm,Norrbottens län,ak
1921,"Stjernberg, Nils Fredrik",1873,,,
1921,"Stjernstedt, Johan Lars Wilhelm",1865,,Södermanlands län och Västmanlands län,ak
1921,"Strid, Carl Oskar",1875,Halmstad,Hallands län,ak
1921,"Stridsberg, Erik Rudolf",1884,,,
1921,"Strindlund, Gerhard",1890,,Västernorrlands län,ak
1921,"Strutz, Frans Oskar",1864,Katrineholm,Södermanlands län och Västmanlands län,fk
1921,"Ström, Johan Albin",1892,Göteborg,,ak
1921,"Ström, Otto Fredrik",1880,,Norrbottens län,fk
1921,"Ström, Torsten Emanuel",1885,,Skaraborgs län,fk
1921,"Strömberg, Gustaf Alfred",1880,Karlstad,Stockholms län och Uppsala län,fk
1921,"Sundberg, Axel Ludvig",1869,,Göteborgs och Bohus län,fk
1921,"Sundling, Carl Axel",1871,,Stockholms län,ak
1921,"Sundström, Fredrik",1886,Vikmanshyttan,Kopparbergs län,ak
1921,"Swartz, Carl Johan Gustaf",1858,Stockholm,Östergötlands län,fk
1921,"Svedberg, Jonas Nikolaus",1881,,Gävleborgs län,ak
1921,"Svedman, Gustaf Adolf",1878,Visby,Gottlands län,ak
1921,"Svensson, Carl Alfred",1861,,Västernorrlands län,ak
1921,"Svenson, Ernst Wilhelm",1880,,Skaraborgs län,ak
1921,"Svensson, Carl Emil",1879,Eskilstuna,Södermanlands län och Västmanlands län,fk
1921,"Svensson, Gustaf Hjalmar",1861,Grönvik,Kronobergs län,ak
1921,"Svensson, Isak",1864,,Göteborgs och Bohus län,fk
1921,"Svensson, Johan August Anton",1859,,Jönköpings län,ak
1921,"Svensson, Johan Gustaf",1864,Betingetorp,Kronobergs län,ak
1921,"Svensson, Nils",1861,Långelanda,Värmlands län,ak
1921,"Svensson, Nils Johan Martin",1871,,Kronobergs län och Hallands län,fk
1921,"Svänsson, Edvard Elieser",1865,Kalmar,Gottlands län,fk
1921,"Svärd, Gottfrid",1880,,Jönköpings län,ak
1921,"Sydow, Adolf Hjalmar",1862,Stockholm,Örebro län,fk
1921,"Sydow, Oscar Fredrik",1873,,,
1921,"Säve, Teofron Adolf",1842,,,
1921,"Sävström, August Vilhelm",1879,,Gävleborgs län,ak
1921,"Söderberg, Karl Johan",1877,Rotebro,Skaraborgs län,ak
1921,"Söderhielm, Knut Erik Wilhelm",1871,,,ak
1921,"Tamm, Carl Gustaf Ludvig",1876,Fagersta,Södermanlands län och Västmanlands län,fk
1921,"Tamm, Elisabeth",1880,,Södermanlands län,ak
1921,"Tamm, Henric Sebastian",1869,,,
1921,"Tengdahl, Knut Abel",1867,,Värmlands län,fk
1921,"Testrup, Erik Mathias Hjalmar",1878,Kristianstad,,fk
1921,"Thelin, Arvid",1876,Växjö,Kronobergs län och Hallands län,fk
1921,"Thomson, Arthur Natanael",1891,Malmö,,ak
1921,"Thorberg, Johan Arvid Justinus",1877,Stockholm,,fk
1921,"Thore, Alexander",1866,Göteborg,,ak
1921,"Thorsell, Johan August Torsten",1867,,Örebro län,ak
1921,"Thorsson, Fredrik Vilhelm",1865,Ystad,Malmöhus län,ak
1921,"Thulin, Johan Einar Ossian",1883,Stockholm,Östergötlands län,fk
1921,"Thiiring, Nelly",1875,Göteborg,,ak
1921,"Tjällgren, Olof Leonard",1878,Stockholm,Västernorrlands län och Jämtlands län,fk
1921,"Träff, Johan Axel",1875,,Östergötlands län,fk
1921,"Törnkvist, Algot Äkesson",1879,Karlskrona,Blekinge län,ak
1921,"Törnkvist, Nils Kortz",1868,Bjuv,Malmöhus län,ak
1921,"Uddenberg, Edvard Jansson",1870,Karlskoga,Örebro län,ak
1921,"Uddenberg, Erik Amund Emanuel",1880,Varberg,Hallands län,ak
1921,"Wachtmeister, Axel Hans Edvard",1886,,Blekinge län,ak
1921,"Wachtmeister, Axel Hansson",1855,Karlskrona,Blekinge län och Kristianstads län,fk
1921,"Wagnsson, Ruben",1891,Oskarshamn,Gottlands län,ak
1921,"Wahl, Gustaf Adolf",1878,Stockholm,,fk
1921,"Wahlmark, Carl Primus",1883,Uppsala,Stockholms län och Uppsala län,fk
1921,"Vahlstedt, Carl Otto",1874,,Skaraborgs län,ak
1921,"Wahren, Carl",1866,Norrköping,Östergötlands län,ak
1921,"Waldem, Sten Ragnar Valdemar",1877,,Kalmar län,ak
1921,"Wallerius, Anders Teodor Adolf",1874,Hjärtum,Göteborgs och Bohus län,ak
1921,"Walles, Janne Gustaf",1871,Sundsvall,Västernorrlands län och Jämtlands län,fk
1921,"Ward, Karl Selim Vallentin",1888,Norrköping,Östergötlands län,ak
1921,"Wavrinsky, Edvard Otto Vilhelm",1848,Stockholm,Västmanlands län,fk
1921,"Weibull, Harry Walfrid August",1875,Malmö,,ak
1921,"Altao, Weijne",1893,Borås,Älvsborgs län,ak
1921,"Wellin, Bertha",1870,Stockholm,,ak
1921,"Vennersten, Axel Fredrik",1863,Stockholm,Älvsborgs län,
1921,"Vennerström, Ivar Teodor",1881,Sollefteå,Västernorrlands län och Jämtlands län,ak
1921,"Werner, Alfred",1885,Hultsfred,Kalmar län,ak
1921,"Wessman, Signe Augusta Maria",1879,Stockholm,,ak
1921,"Westman, Karl Allan",1883,,Östergötlands län,ak
1921,"Westman, Karl Gustaf",1876,Uppsala,Östergötlands län,fk
1921,"Wickman, Carl Gustaf Teodor",1856,Stockholm,Gävleborgs län,fk
1921,"Widell, Jakob Ludvig",1870,Stockholm,Göteborgs och Bohus län,fk
1921,"Wigforss, Ernst Johannes",1881,Göteborg,,ak
1921,"Wijk, Hjalmar",1877,Göteborg,,fk
1921,"Wijkström, Uno Andreas",1872,,Gotlands län,fk
1921,"Wiklund, Adolf",1859,Brattfors,Västerbottens län,ak
1921,"Wiklund, Johan Bernhard",1886,Byske,Västerbottens län,ak
1921,"Wikström, Anton",1876,Skellefteå,Västerbottens län,ak
1921,"Vinberg, Carl",1867,Stockholm,Västerbottens län och Norrbottens län,fk
1921,"Vindahl, Axel",1866,Örebro,Örebro län,fk
1921,"Winkler, Nils",1870,Malmö,,ak
1921,"Wirsell, Karl Emil",1868,Kastlösa,Uppsala län,ak
1921,"Vougt, Allan Georg Fredrik",1895,Malmö,,ak
1921,"Vrang, Erik Persson",1870,Falköping,Skaraborgs län,fk
1921,"Wrangel, Anton Magnus Herman",1857,,,
1921,"Steyern, Nils Einar Len-",1887,,,
1921,"Västberg, Johan Mauritz",1886,Sundsvall,Västernorrlands län,ak
1921,"Åkerberg, Olof Harald",1883,Örebro,Örebro län,fk
1921,"Åkerlund, Erik Gabriel Henrik",1853,,Stockholms län,ak
1921,"Åkerman, Assar Emanuel",1860,,Södermanlands län och Västmanlands län,fk
1921,"Åström, Ernst Valdemar",1876,Stockholm,Kopparbergs län,fk
1921,"Öberg, Carl Jonas",1859,,Västernorrlands län,ak
1921,"Ödström, Petrus",1868,,Örebro län,ak
1921,"Öhman, Eric Oscar",1886,Sundsvall,Västernorrlands län,ak
1921,"Öhman, Ivar Erik",1868,Malmö,Malmöhus län,fk
1921,"Öhman, Johan Viktor",1877,Örebro,Örebro län,ak
1921,"Öhngren, Henrik Gustaf Paulus",1853,Örnsköldsvik,Västernorrlands län och Jämtlands   län,
1921,"Örne, Anders Emanuel",1881,Stockholm,Örebro län,fk
1921,"Östberg, Johan",1855,Stockholm,,fk
1921,"Östergren, Theodor",1878,Karlskrona,Blekinge län och Kristianstads län,fk
1921,"Östlund, Agda Maria",1870,Stockholm,,ak
1931,"Abrahamsson, Erik Rudolf",1873,,,
1931,"Ahl, Karl Einar",1890,Norrtälje,Malmöhus län,ak
1931,"Albertsson, Axel Eskil Albert",1880,Tenhult,Jönköpings län,fk
1931,"Almquist, Helge Knut Hjalmar",1880,Stockholm,,fk
1931,"Alströmer, Carl Thore Jonas",1879,Borlänge,Kopparbergs län,ak
1931,"Ander, Johan August",1869,,Västmanlands län,ak
1931,"Anderberg, Hugo Rudolf",1892,,Malmöhus län,fk
1931,"Andersson, Alfred",1881,Bussjö,Malmöhus län,fk
1931,"Andersson, Alfred",1886,Munkaljungby,Kristianstads län,ak
1931,"Andersson, Anders",1871,,Kronobergs län och Hallands län,fk
1931,"Anderson, Anders",1874,Råstock,Örebro län,ak
1931,"Andersson, Anders Birger",1878,Falkenberg,Hallands län,ak
1931,"Anderson, Axel Ivar",1891,Norrköping,Östergötlands län,ak
1931,"Anderson, Carl Arvid",1887,Storegården,Skaraborgs län,ak
1931,"Andersson, Carl Olov Harald",1888,Dunker,Södermanlands län,ak
1931,"Andersson, Carl Walter Martin",1886,Igelboda,Stockholms län,ak
1931,"Andersson, Ebon Maria Isabella",1896,Stockholm,,ak
1931,"Andersson, Edoff Emanuel",1892,Stockholm,,ak
1931,"Andersson, Einar Sigfrid",1895,,Älvsborgs län,ak
1931,"Andersson, Elof Bernhard",1873,,Blekinge län och Kristianstads län,fk
1931,"Andersson, Emil",1876,Prästbol,Värmlands län,ak
1931,"Andersson, Gustav Emil",1890,Leabo,Jönköpings län,ak
1931,"Andersson, Gustaf Henning",1884,Rasjön,Kopparbergs län,ak
1931,"Anderson, Gustaf Iwar",1883,Arboga,Södermanlands län och Västmanlands län,fk
1931,"Andersson, Gösta Ludvig",1904,Mölndal,Göteborgs och Bohus län,ak
1931,"Andersson, Johan Albert",1878,,Stockholms län och Uppsala län,fk
1931,"Andersson, Henrik",1880,Boda,Västernorrlands län och Jämtlands län,fk
1931,"Andersson, Herman",1869,Grimbo,Göteborgs och Bohus län,ak
1931,"Andersson, Johan Elon",1891,,Gävleborgs län,fk
1931,"Andersson, Johannes Allan",1886,Tungelsta,Stockholms län,ak
1931,"Andersson, Jones Erik",1881,Ovanmyra,Kopparbergs län,ak
1931,"Andersson, Karl Abel Mauritz",1887,Löbbo,Jönköpings län,ak
1931,"Andersson, Karl Andreas",1875,,Göteborgs och Bohus län,fk
1931,"Andersson, Karl Bertil",1897,Surahammar,Västmanlands län,ak
1931,"Andersson, Karl Emil",1869,Eliantorp,Östergötlands län,fk
1931,"Andersson, Karl Herman",1889,,Göteborgs och Bohus län,fk
1931,"Andersson, Karl Teodor",1882,Katrineholm,Södermanlands län,ak
1931,"Andersson, Nils Axel",1891,Östersund,Västernorrlands län och Jämtlands län,fk
1931,"Andersson, Olof",1875,Höör,Malmöhus län,ak
1931,"Andersson, Olof",1887,Malmö,,ak
1931,"Andersson, Oscar Sigfrid",1889,Torngård,Kalmar län,ak
1931,"Andersson, Oskar Emil",1877,,Göteborgs och Bohus län,fk
1931,"Andersson, Oskar Linus",1875,Lindome,Hallands län,ak
1931,"Andersson, Paul Werner",1887,,Kronobergs län och Hallands län,fk
1931,"Andersson, Per",1876,,Gävleborgs län,fk
1931,"Anderson, Sven Erik",1870,,Gotlands län,fk
1931,"Andersson, Sven Johan",1898,Vigelsbo,Älvsborgs län,ak
1931,"Arnemark, Gustaf Emil",1888,Stockholm,,ak
1931,"Aronsson, Anders Rudolf",1885,,Stockholms län och Uppsala län,fk
1931,"Aronson, Ernst Karl",1876,,Kopparbergs län,ak
1931,"Arvedson, Nils",1876,,Värmlands län,fk
1931,"Asplund, Carl Immanuel",1872,Luleå,Västerbottens län och Norrbottens län,fk
1931,"Back, Johannes",1892,Solna,Stockholms län,ak
1931,"Bagge, Gösta Adolfsson",1882,Stockholm,,ak
1931,"Barnekow, Kjell Ragnar Mac-Dougall",1877,,Kristianstads län,ak
1931,"Beck, Johan Wilhelm",1881,,Skaraborgs län,ak
1931,"Beck-Friis, Carl Sigvard",1886,,Stockholms län och Uppsala län,fk
1931,"Bengtsson, Carl Emil",1875,Kullen,Skaraborgs län,ak
1931,"Bengtsson, Carl Ludvig",1874,,Älvsborgs län,fk
1931,"Bengtsson, Sven",1866,Norup,Kristianstads län,ak
1931,"Berg, Ernst Gunnar Harald",1886,Berg,Västernorrlands län,ak
1931,"Berg, Robert Vilhelm Färdinand",1877,Karlskrona,Blekinge län och Kristianstads län,fk
1931,"Berggren, Gustaf",1891,,,
1931,"Berglund, Enar Sigfrid Harald",1888,,Västernorrlands län och Jämtlands län,fk
1931,"Bergman, Johan",1864,Stockholm,Värmlands län,fk
1931,"Bergquist, Thorwald Erik Natanael",1899,Västerås,Västmanlands län,ak
1931,"Bergqvist, Olof",1862,Luleå,Västerbottens län och Norrbottens län,fk
1931,"Bergström, David Kristian",1858,,Östergötlands län,fk
1931,"Bergström, Karl Anton Edvard",1888,Hälsingborg,,ak
1931,"Bergström, Per Albert",1869,Norrköping,Östergötlands län,fk
1931,"Bergström, Petrus",1881,Bäckland,,ak
1931,"Bergvall, John Helmer",1892,Stockholm,,ak
1931,"Berling, Edwin Bernhard",1881,Hälsingborg,Malmöhus län,fk
1931,"Birke, Gustaf Emanuel",1893,,Stockholms län,ak
1931,"Bissmark, Georg Fredrik",1871,Halmstad,Kronobergs län och Hallands län,fk
1931,"Bjurström, Theodor Emanuel",1874,,Kopparbergs län,fk
1931,"Björck, Blenda Wilhelmina",1885,,Kristianstads län,ak
1931,"Björck, Johan",1881,Borås,Älvsborgs län,fk
1931,"Björck, Karl Anders Wilhelm",1888,,Södermanlands län och Västmanlands län,fk
1931,"Björck, Karl Olof Emanuel",1879,Kristianstad,Kristianstads län,ak
1931,"Björk, Nils",1866,Tryde,Kristianstads län,ak
1931,"Björklund, Lars Anton",1881,,,ak
1931,"Björkman, Gustaf Adolf",1871,Norrköping,Östergötlands län,ak
1931,"Björkman, Per Gustaf",1881,Sunne,Värmlands län,fk
1931,"Björling, Carl Joel",1875,,Värmlands län,ak
1931,"Björnberg, Karl Erie",1872,Uppsala,Uppsala län,ak
1931,"Björnsson, Johan Edvard",1878,Borås,Älvsborgs län,fk
1931,"Bladh, Eric Helgo",1887,Malmö,,ak
1931,"Blomquist, Josef Herman",1879,Växjö,Kronobergs län,ak
1931,"Boberg, Carl Gustav",1859,Kalmar,Gotlands län,fk
1931,"Bodin, Karl Wilhelm",1871,,Värmlands län,fk
1931,"Bodin, Lars Gunnar",1872,Visby,Gotlands län,fk
1931,"Boman, Gustaf",1861,Göteborg,,fk
1931,"Boman, Sven Birger",1895,,Kopparbergs län,fk
1931,"Bondeson, Lennart",1881,Svalöv,Malmöhus län,fk
1931,"Borell, Karl Gustav Theodor",1869,,Stockholms län och Uppsala län,fk
1931,"Borg, Karl August Olsson",1866,,Uppsala län,ak
1931,"Borggren, Lars",1876,Ängelholm,Blekinge län och Kristianstads län,ak
1931,"Brandt, Erik Gottfrid Christian",1884,,Kopparbergs län,fk
1931,"Branting, Georg",1887,Stockholm,,fk
1931,"Brädefors, Johan Herman",1888,,Norrbottens län,ak
1931,"Brännberg, Carl Magnus Larsson",1884,,Göteborgs och Bohus län,ak
1931,"Brännström, Jonas Ludwig",1876,,Västerbottens län,ak
1931,"Brännström, Nils Anton",1877,Burträsk,Västerbottens län,ak
1931,"Bäcklund, Helge Karl Vilhelm",1880,Falköping,Skaraborgs län,ak
1931,"Beckman, Oscar Hugo",1882,Stockholm,,ak
1931,"Baeckström, Axel Fredrik",1888,,Västerbottens län,ak
1931,"Bäckström, Helge Mattias",1865,,,
1931,"Bäckström, Johan Magnus",1876,,Västerbottens län och Norrbottens län,fk
1931,"Bärg, Anders Johan",1870,Katrineholm,Södermanlands län och Västmanlands län,fk
1931,"Caap, Gustaf Torsten",1896,Luleå,Västerbottens län och Norrbottens län,fk
1931,"Carleson, Axel Oskar Conrad",1868,Stockholm,,ak
1931,"Carlsson, Carl August",1873,Gävle,Gävleborgs län,fk
1931,"Carlsson, Karl Sigurd Anders",1870,,Kalmar län,ak
1931,"Carlsson, Olof",1872,Stockholm,,fk
1931,"Carlström, Carl Fredrik",1882,Övertorneå,Västerbottens län och Norrbottens län,fk
1931,"Carlström, Oscar Ludvig",1879,,Jönköpings län,ak
1931,"Casenberg, Arthur Wilhelm",1870,Kasenberg,Älvsborgs län,ak
1931,"Centerwall, Frans Gustaf Sture",1887,,,
1931,"Christenson, Johan Birger",1875,Södertälje,Stockholms län,ak
1931,"Christiernsson, Nils Henrik",1883,Hälsingborg,,ak
1931,"Clemedtson, Jeppe",1885,,,fk
1931,"Colleen, Sven Tycho",1871,Trollhättan,Älvsborgs län,fk
1931,"Cronvall, Per Axel",1873,,,
1931,"Cruse, Carl Sigvard",1891,Stockholm,,ak
1931,"Dahlbäck, Oscar Fredrik",1886,Jönköping,Norrbottens län,ak
1931,"Dahlström, Carl Herman",1877,Knäppinge,Södermanlands län och Västmanlands län,fk
1931,"Dalberg, Erik",1869,Borlänge,Kopparbergs län,fk
1931,"Danielsson, August",1876,Mörlanda,Älvsborgs län,ak
1931,"Danielsson, Oskar Emanuel",1882,Södertälje,Stockholms län och Uppsala län,fk
1931,"Geer, Arvid Louis Gerard",1884,Hanaskog,Blekinge län och Kristianstads län,ak
1931,"Geer, John Gustaf Gerard",1889,Lesjöfors,Värmlands län,ak
1931,"Domö, Johan Fritiof",1889,Stockholm,Skaraborgs län,fk
1931,"Gustafson, Johan Fritiof",1937,,,
1931,"Edberg, Per Jonas",1878,,Västernorrlands län,ak
1931,"Egnell, Erik Wiktor",1872,,Skaraborgs län,fk
1931,"Ehrnberg, Gustaf Theodor",1867,Simrishamn,Blekinge län och Kristianstads län,fk
1931,"Ekberg, Ove Johan",1896,Göteborg,,ak
1931,"Ekberg, Seve Ellenis",1887,,,
1931,"Ekdahl, Anders Elver Thorvald",1888,,Kristianstads län,ak
1931,"Eklund, Johan Anton",1883,,Västmanlands län,ak
1931,"Eklund, Maria Elvira",1880,,Stockholms län,ak
1931,"Ekman, Carl Gustaf",1872,Stockholm,,ak
1931,"Ekman, Carl Josef",1870,Göteborg,,ak
1931,"Ekman, Johan Fritjof",1888,Stockholm,Örebro län,fk
1931,"Ekman, Karl Johan",1863,,Jönköpings län,fk
1931,"Ekströmer, Carl Ivar",1880,,Kronobergs län och Hallands län,fk
1931,"Elliot, Erik Holger",1887,,,
1931,"Elmroth, Arthur Erik",1892,,Uppsala län,ak
1931,"Elofsson, Gustaf Sanfrid",1897,Södergård,Blekinge län och Kristianstads län,fk
1931,"Elowsson, Nils Johan",1890,Kristianstad,Blekinge län och Kristianstads län,fk
1931,"Engberg, Jonas Arthur",1888,Stockholm,,ak
1931,"Englund, Erik Adolf",1881,,Västernorrlands län,ak
1931,"Englund, Ivar Erik Bernhard",1886,Falun,Kopparbergs län,fk
1931,"Enhörning, Erik August",1860,,Västernorrlands län och Jämtlands län,fk
1931,"Ericsson, Carl Herman",1891,Malmö,Malmöhus län,fk
1931,"Ericsson, Carl Hugo Vilhelm",1893,,,
1931,"Ericsson, Evald",1883,Sörsjön,Kopparbergs län,ak
1931,"Ericson, Frans Oscar",1879,Boxholm,Östergötlands län,ak
1931,"Ericsson, John August",1907,Kinna,Älvsborgs län,ak
1931,"Ericsson, Johan Elof",1887,Åtvidaberg,Östergötlands län,ak
1931,"Ericson, Karl Oscar",1866,,Jönköpings län,fk
1931,"Eriksson, Albin",1879,Toftered,Hallands län,ak
1931,"Eriksson, Carl Edmund",1881,Ljusdal,Gävleborgs län,fk
1931,"Eriksson, Ernst Gustaf Eug",1881,Stockholm,,ak
1931,"Eriksson, Eskil Fredrik Vilhelm",1900,Sandby,Stockholms län,ak
1931,"Eriksson, Gustaf Herman",1892,Grängesberg,,ak
1931,"Eriksson, Jonas Olof",1896,Frägsta,Gävleborgs län,ak
1931,"Eriksson, Valirid",1879,,Värmlands län,fk
1931,"Erlander, Tage Fritiof",1901,Lund,,ak
1931,"Eskhult, Ernst Wilhelm",1880,Stockholm,Skaraborgs län,fk
1931,"Falk, Karl Henrik",1890,,Östergötlands län,ak
1931,"Fast, Johan Erik Gereon",1883,Nässjö,Jönköpings län,ak
1931,"Fehr, Martin Nikolaus",1885,Stockholm,,fk
1931,"Flyg, Nils Svante",1891,Nacka,Stockholms län,ak
1931,"Fogelqvist, Torsten",1880,,,
1931,"Forslund, Johannes Albert",1881,,Stockholms län och Uppsala län,fk
1931,"Forssberg, Johan Erik",1865,Karlskrona,Blekinge län och Kristianstads län,fk
1931,"Forssell, Carl Abraham",1881,Stockholm,,fk
1931,"Forssell, Carl Arne",1887,Stockholm,,ak
1931,"Forssman, Per Hilding",1886,,,
1931,"Frankenberg, John Evert Konrad",1900,Göteborg,Stockholms län och Uppsala län,ak
1931,"Fredberg, Gustaf Manfred",1881,,Skaraborgs län,ak
1931,"Friggeråker, Johan",1872,Falköping,Älvsborgs län,fk
1931,"Fält, Axel Samuel",1883,,Skaraborgs län,ak
1931,"Gabrielsson, Nils Gabriel",1876,,Västerbottens län och Norrbottens län,fk
1931,"Gardell, Arvid Lars Johan",1887,Stenstu,Gotlands län,ak
1931,"Gardell, Petter Theodor",1872,Näs,Gotiands län,ak
1931,"Geijer, Knut Ebbe",1864,Stockholm,Malmöhus län,fk
1931,"Gezelius, Lars Evald Birger",1894,Falun,Östergötlands län,ak
1931,"Granath, Per",1882,,Gävleborgs län,fk
1931,"Granström, Anders Josef",1866,,Västernorrlands län och Jämtlands län,fk
1931,"Grapenson, Peter Jöran",1878,Gällivare,Norrbottens län,ak
1931,"Gränebo, Carl Petrus Valdemar",1881,,Gotlands län,fk
1931,"Gustafson, Arthur Wilhelm",1870,Kasenberg,Älvsborgs län,ak
1931,"Gustafson, Emil August",1887,Vimmerby,Kalmar län,ak
1931,"Gustafsson, Frans Edvin",1888,Bogla,Jönköpings län,ak
1931,"Gustafsson, Johan Aron",1880,Lekåsa,Skaraborgs län,ak
1931,"Gustafson, Johan Fritiof",1889,,Skaraborgs län,fk
1931,"Domö, Johan Fritiof",1899,Välsnäs,Kalmar län,ak
1931,"Gustafson, Karl Hjalmar",1893,Dädesjö,Kronobergs län,ak
1931,"Gustafsson, Karl Johan Alfred",1862,,Jönköpings län,fk
1931,"Gustafsson, Per Johan",1880,Benestad,Kronobergs län och Hallands län,fk
1931,"Gustafson, Ruth Valborg Maria",1881,Stockholm,,ak
1931,"Gustavson, David Emanuel",1898,Sala,Västmanlands län,ak
1931,"Gustavson, John Aron",1890,,Göteborgs och Bohus län,fk
1931,"Gyllenswärd, Ragnar Hugo Ferdi-",1891,,,
1931,"Göunther, Christian Ernst",1886,,,
1931,"Gärde, Johannes Natanael",1880,Stockholm,,fk
1931,"Hagander, Johan Oscar",1896,,,
1931,"Hagberg, Erik Rudolf",1891,Malmö,,ak
1931,"Hagberg, Karl Hilding",1899,Luleå,Norrbottens län,ak
1931,"Hagberth, Nils Elof",1885,,Malmöhus län,fk
1931,"Hage, Ernst August",1876,Luleå,Norrbottens län,ak
1931,"Hagman, Emil Oskar",1880,,,fk
